cl010106475;"Coupe à couvercle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 1397";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106484;"Vase forme balustre d'une paire (R 1414 et 1415)";;"1800 / 1900  (XIXe siècle)";"R 1414";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010107398;"Vase en porcelaine de Chine";;"1685 / 1715  (Fin du XVIIe siècle - début du XVIIIè siècle)";"OA 5149";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109605;"Vase en forme de balustre à quatre pans, d'une paire (TH 471)";Anonyme;;"TH 470";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Richelieu, [OArt] Salle 538 - Appartements Napoléon III - Anciens petits appartements";
cl010109606;"Vase en forme de balustre à quatre pans, d'une paire (TH 470)";Anonyme;;"TH 471";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Richelieu, [OArt] Salle 538 - Appartements Napoléon III - Anciens petits appartements";
cl010109607;"Vase à décor Wu shuang pu, d'une paire (TH 477)";"Chine, atelier de Jingdezhen";"1825 / 1850  (2e quart du XIXe siècle)";"TH 478";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109608;"Vase à huit pans et à couvercle, d'une paire (TH 479)";"Chine, atelier de Jingdezhen";"vers 1735";"TH 480";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109609;"Vase à décor d'immortels taoïstes";Chine;"1723 / 1735  (2e quart du XVIIIe siècle)";"TH 482";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109610;"Vase en forme de carafe, à panse sphérique, d'une paire (TH 484)";"Chine, atelier de Jingdezhen";"1675 / 1725  (XVIIe-XVIIIe siècle)";"TH 483";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109612;"Plat rond, d'une paire (TH 489)";Anonyme;;"TH 488";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109614;"Compotier rond, d'une paire (TH 491)";;;"TH 490";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109615;"Compotier rond, d'une paire (TH 490)";;;"TH 491";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109618;"Tasse à thé avec sa soucoupe en porcelaine ""coquille d'oeuf"" d'un ensemble de trois (TH 497 à 499), d'un service (TH 497 à 504)";"Chine - atelier de Canton";"1730 / 1735  (XVIIIe siècle)";"TH 497";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109622;"Tasse à thé et soucoupe d'un ensemble de trois (TH 505 à 507)";"Chine - atelier de Canton";"1750 / 1760  (XVIIIe siècle)";"TH 505";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109625;"Tasse haute à anse, d'un ensemble de trois (TH 508 à 510)";"Chine - atelier de Canton";"1750 / 1760  (XVIIIe siècle)";"TH 508";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109626;"Tasse haute à anse, d'un ensemble de trois (TH 508 à 510)";"Chine - atelier de Canton";"1750 / 1760  (XVIIIe siècle)";"TH 509";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109637;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 526";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109643;"Assiette, d'une paire (TH 537)";"Chine - atelier de Canton";"1730 / 1740  (XVIIIe siècle)";"TH 538";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109651;"Tasse haute à anse et soucoupe (TH 548 à 550)";"Chine - atelier de Canton";"1787 / 1790  (XVIIIe siècle)";"TH 549";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109653;"Plateau à sucre";"Chine - atelier de Canton";"1770 / 1785  (XVIIIe siècle)";"TH 551";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010110492;"Fragment de coupe";;;"MR 121";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010112086;"Assiette en porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1117";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010113020;"Paravent à deux feuilles en laque polychrome à décor de fleurs et d'oiseaux";Anonyme;"1800 / 1900  (XIXe siècle)";"OAR 620";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";MNR
cl010113883;"Boîte ronde cotelée en jade, à couvercle orné d'un médaillon avec caractères chinois";;"1800 / 1900  (XIXe siècle)";"R 1357";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010113884;"Boîte plate en jade, à couvercle, de forme ronde sur pied bas";;"1800 / 1900  (XIXe siècle)";"R 1371";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010113889;"Vase forme balustre d'une paire (R 1414 et 1415)";;"1800 / 1900  (XIXe siècle)";"R 1415";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010114209;"Assiette, d'une série de trois (R 1102 et R 1125)";Anonyme;"1730 / 1740  (XVIIIe siècle [?])";"R 1100";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010114560;"Petit bouton en forme de pêche de longévité";;"1800 / 1900  (XIXe siècle [?])";"TH 330";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010114678;"Assiette coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1024";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010114688;"Assiette en porcelaine de Chine, coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1073";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010114689;"Assiette en porcelaine de Chine coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1085";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010114690;"Assiette en porcelaine coquille d'oeuf à revers rubis et à quatre bordures";;"1700 / 1800  (XVIIIe siècle)";"R 1091";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010114693;"Assiette en porcelaine coquille d'oeuf et revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1114";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115117;"Petite coupe en porcelaine coquille d'oeuf à revers rubis";;;"R 1008";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115119;"Assiette en porcelaine de Chine coquille d'oeuf, à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1067";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115120;"Assiette en porcelaine de Chine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1081";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115121;"Assiette porcelaine coquille d'oeuf à revers blanc";;"1700 / 1800  (XVIIIe siècle)";"R 1086";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115125;Assiette;;"1700 / 1800  (XVIIIe siècle)";"R 1065";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010115138;"Garniture ancienne provenant de la chaise en cabriolet OA 9412";Anonyme;"1700 / 1800  (XVIIIe siècle)";"OA 9412 Bis";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010115230;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 525";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010116177;"Coupe ronde couverte en jade gris";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 174";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Abu Dhabi (Emirats Arabes Unis), Louvre Abu Dhabi";
cl010116178;"Théière en jade gris";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 187";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Abu Dhabi (Emirats Arabes Unis), Louvre Abu Dhabi";
cl010116180;"Vase en jade vert pâle, en forme de fleur aquatique";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 156";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010116181;"Petit vase à couvercle et à panse aplatie";Anonyme;"1800 / 1900  (XIXe siècle)";"R 169";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010116666;"Sceptre en jade incrusté d'or avec inscriptions";;"1800 / 1900  (XIXe siècle)";"R 1338";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010116689;"Tasse et soucoupe à décor polychrome sur fond blanc";;"1800 / 1900  (XIXe siècle)";"R 1137";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010116691;"Théière d'un service de trois pièces (R 1220 à 1223)";;"1700 / 1800  (XVIIIe siècle)";"R 1220";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010117297;"Coupe décorée à l'extérieur de feuillage stylisé";Anonyme;;"SN 286";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010117371;"Vase ou potiche, d'une paire (TH 447)";Anonyme;"1800 / 1900  (XIXe siècle)";"TH 448";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010117467;"Soucoupe (du même décor que TH 549 et TH 550)";"Chine - atelier de Canton";"1787 / 1790  (XVIIIe siècle)";"TH 548";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010117994;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 521";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010118009;"Tasse, d'un ensemble de quatre (TH 493 à 496)";;;"TH 496";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010118138;"Panneau d'une suite de six (OAR 494 A à F) peints à décor chinois";Anonyme;"1785 / 1800  (Fin du XVIIIe siècle)";"OAR 494 E";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";MNR
cl010239331;"Vase tabouret de Chine, d'une paire (OA 5482 1)";;1864;"OA 5482 2";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Versailles (France), Château - Domaine national de Versailles, Grand Trianon, salle d'exposition";
cl020132747;"Un personnage de Chine";"ANONYME FRANCAIS XIXè s";;"RF 22829, 42; vol.24, p.396";"Département des Arts graphiques";;"Réserve des petits albums, Album Ecole française XIXeme siècle -3-, Folio 21, dessiné au verso";
cl020510002;"15 mars 1873, Paris, à Jules Fesser";"Jongkind, Johan Barthold";1873;"A 1166, Recto; Inventaire Autographes 1166";"Département des Arts graphiques";;"Réserve des autographes, Réserve des autographes : cote BSb7L16";
cl020537532;"Projet de cartes à jouer : Femme de profil, en manteau long, avec un turban à aigrette";"BELLA Stefano della";;"3357 DR/1 Recto; 345; vol.1, p.17";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020559739;"""Le Combat de Khurungui""";"ALLIAMET Jacques";"Vers 1765";"27460 LR/ Recto; 15122; vol.8, p.63";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559740;"""la levée du siège de la Rivière Noire""";"LE BAS Jacques Philippe";"vers 1765";"27461 LR/ Recto; 15122";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559754;"""Le combat de Qos-qulaq""";"PREVOST Benoît Louis";"Vers 1765";"27475 LR/ Recto; 15130; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559755;"""Le combat de Qos-qulaq""";"PREVOST Benoît Louis";"vers 1765";"27476 LR/ Recto; 15130; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559757;"""Le Khan du Badakhsan demande à se soumettre""";"CHOFFARD Pierre-Philippe";"vers 1765";"27478 LR/ Recto; 15131; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559758;"""Le combat de Yesil-köl-nör""";"LAUNAY Nicolas de";"vers 1765";"27479 LR/ Recto; 15132; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559759;"""Le combat de Yesil-köl-nör""";"LAUNAY Nicolas de";"vers 1765";"27480 LR/ Recto; 15132; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl020559765;"""Le combat d'Arcul""";"PREVOST Benoît Louis";"vers 1765";"27486 LR/ Recto; 15135; vol.8, p.64";"Département des Arts graphiques";;"Réserve Edmond de Rothschild";
cl010096577;Coupe;;"vers 1650";"MR 233";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Denon, [OArt] Salle 705 - Galerie d'Apollon, Vitrines tables, vitrine table 1";
cl010097755;"Plateau en laque, d'une paire (R 1461 et R 1462)";;"1800 / 1900  (XIXe siècle)";"R 1461";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010097759;"Plateau : personnages dans un paysage";Anonyme;"1800 / 1900  (XIXe siècle)";"R 1467";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010098008;"Coupe polylobée";;;"OA 2045";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Denon, [OArt] Salle 705 - Galerie d'Apollon, Vitrines tables, vitrine table 1";
cl010098939;"Cadran multiple en diptyque";Anonyme;"1800 / 1900  (XIXe siècle [?])";"OA 10729";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010098962;"Aiguière de forme aplatie";Anonyme;"1400 / 1500  (XVe siècle)";"OA 6110";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), Musée national des Arts asiatiques - Guimet";
cl010101920;"Aiguière en jade gris";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 124";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010101929;"Sceptre, d'un ensemble de quatre (R 189 à R 192)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 190";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102116;"Assiette creuse en porcelaine coquille d'oeuf, revers rubis";;;"R 1016";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102124;"Assiette, porcelaine de Chine, coquille d'oeuf à revers rubis";;;"R 1053";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102130;"Assiette en porcelaine de Chine, coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1069";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102132;Assiette;"Chine, atelier de Jingdezhen";"1730 / 1735  (2e quart du XVIIIe siècle)";"R 1074";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102139;"Assiette en porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1096";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102142;"Assiette en porcelaine de Chine";;;"R 1103";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102143;"Assiette en porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1107";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102144;"Assiette porcelaine de Chine à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1108";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102146;"Assiette en porcelaine";;"1735 / 1796  (XVIIIe siècle)";"R 1113";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102147;"Assiette coquille d'oeuf à revers rubis";;;"R 1116";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102148;"Assiette en porcelaine coquille d'oeuf";;"1700 / 1800  (XVIIIe siècle)";"R 1122";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102149;"Assiette coquille d'oeuf, revers rubis";;"1723 / 1735  (2e quart du XVIIIe siècle)";"R 1124";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102150;Assiette;"Chine - atelier de Canton";"1735 / 1796  (XVIIIe siècle)";"R 1127";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102155;"Tasse et soucoupe, d'une paire (R 1205)";"Chine - atelier de Canton";"1740 / 1760  (XVIIIe siècle)";"R 1202";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102159;Brûle-parfum;Anonyme;"1800 / 1900  (XIXe siècle)";"R 1241";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102172;Coupe;Anonyme;"1800 / 1900  (XIXe siècle)";"R 1383";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102173;"Vase, forme balustre à anses formées par des têtes d'éléphant, porcelaine bleu flambé";;"1800 / 1900  (XIXe siècle)";"R 1385";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102182;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1408";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102183;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1411";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102340;"Rouleau: Puissants coursiers (Jungu quanqitu 駿骨權奇圖)";"Gong Kai 龔開, dit Shengyu 聖予 ; Ren Renfa 任仁發, dit Yueshan daoren 月山道人";"1250 / 1315  (2e moitié du XIIIe siècle; Fin du XIIIe siècle - début du XIVe siècle)";"TH 281; MG 26518";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), Musée national des Arts asiatiques - Guimet";
cl010102342;"Vase bouteille à décor de chi";Chine;"1700 / 1800  (XVIIIe siècle)";"TH 288";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102367;"Boîte en forme de qilin, d'une paire (TH 335)";Chine;"après 1760";"TH 334";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102381;"Boîte aux mille trésors (Baibao qian mu he 百寶嵌木盒)";Chine;"1730 / 1760  (Milieu du XVIIIe siècle)";"TH 358";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102424;"Gros crapaud avec cachet en creux chinois";Anonyme;"1800 / 1900  (XIXe siècle)";"SN 84";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102524;"Vase cylindrique à couvercle, d'une paire (avec TH 450)";"Chine, atelier de Jingdezhen";"vers 1710";"TH 450";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102525;"Vase cylindrique à couvercle, d'une paire (avec TH 450)";"Chine, atelier de Jingdezhen";"vers 1710";"TH 449";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102530;"Vase balustre";Chine;"avant 1860";"TH 464";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102531;"Bol à punch";"Chine, atelier de Jingdezhen";"1723 / 1735  (2e quart du XVIIIe siècle)";"TH 465";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102537;"Vase à décor Wu shuang pu, d'une paire (TH 478)";"Chine, atelier de Jingdezhen";"1825 / 1850  (2e quart du XIXe siècle)";"TH 477";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102538;"Vase à huit pans et à couvercle, d'une paire (TH 480)";"Chine, atelier de Jingdezhen";"vers 1735";"TH 479";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102953;"Bas-relief chinois : deux chasseurs dans un paysage";Anonyme;;"SN 197";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102978;"Coupelle en verre rouge (d'une paire)";Anonyme;"1800 / 1900  (XIXe siècle)";"SN 226; SN 484";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010103029;"Coupe décorée intérieurement";;;"SN 285";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010103806;"Potiche au col brisé";Anonyme;;"OA 6109";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), Musée national des Arts asiatiques - Guimet";
cl010103814;"Grand bol en porcelaine de Chine";;"1730 / 1740  (1ere moitié du XVIIIe siècle)";"R 1037";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105539;"Figurine en jade représentant un lapin couché";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 126";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105540;"Petit groupe en jade";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 127";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105541;"Coupe en jade vert pâle à anse";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 129";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105544;"Petit cormoran en jade vert pâle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 133";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105546;"Vase en cristal de roche représentant un animal fantastique";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 135";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105559;"Flambeau en jade vert foncé à double bobéchons";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 165";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105566;"Petit brûle-parfum en jade, sur socle en bois de fer";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 176";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
